X,Y,Original Slide label,Static Predicted Probability,Static predicted zone,LITHOLOGY,LULC11_12,LULC15_16,PANCHAYATH_CODE,PANCHAYATH_NAME,HAND,TPI,ASPEC,DRAIN_DEN,NDBI,NDVI,SPI,TRI,TWI,ELEVATION,PLANCU,PROFCU,RRELIEF,GW_IDW,LINEAMENT_DEN,ROAD_DEN,SLOPE,D_RAINFALL,SOIL_T,SOIL_DEPTH,SOIL_TEXTURE,VILLAGE_BLK
77.08550262,9.496870041,0,0.013792082,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,5,5,2,3,3,4,3,2,5,8,5,2,4,4,1,2,3,8,Very deep,Clay,66
77.06990051,9.496970177,0,0.002019923,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,2,6,2,4,3,4,4,2,7,7,8,3,3,2,3,5,3,8,Very deep,Clay,66
77.0667038,9.496990204,0,0.001225074,very low,Charnakite,Forest Plantation,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,4,6,2,4,3,3,4,1,7,7,7,2,3,2,3,3,3,8,Very deep,Clay,66
77.04789734,9.497099876,0,0.002836104,very low,Charnakite,Forest Plantation,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,6,3,2,4,3,2,4,1,7,4,5,3,2,1,1,1,3,8,Very deep,Clay,66
77.0447998,9.497110367,0,0.003650591,very low,Charnakite,Forest Plantation,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,6,2,2,5,3,2,4,1,7,6,4,4,2,1,2,2,3,8,Very deep,Clay,66
77.04160309,9.497130394,0,0.003188378,very low,Charnakite,Forest Plantation,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,5,10,2,5,3,4,5,2,7,4,5,3,2,1,2,3,3,8,Very deep,Clay,66
77.03849792,9.497150421,0,0.003735111,very low,Charnakite,Forest Plantation,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,4,3,8,2,4,3,5,3,3,7,7,6,3,2,1,3,2,3,8,Very deep,Clay,66
77.03530121,9.497170448,0,0.003972462,very low,Charnakite,Forest Plantation,Forest Plantation,47,Kumily,2,7,9,2,3,3,1,5,1,6,8,5,3,2,1,3,2,3,8,Very deep,Clay,66
77.01650238,9.497280121,0,0.015648048,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,5,8,3,3,3,3,3,1,2,7,6,3,6,1,6,4,4,1,Very deep,Clay,66
77.01339722,9.497300148,0,0.014806671,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,2,7,3,2,3,5,3,5,1,6,8,3,6,1,6,4,4,1,Very deep,Clay,65
77.0102005,9.497309685,0,0.00917107,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,6,4,3,2,5,3,3,1,1,6,6,4,7,1,6,4,4,1,Very deep,Clay,65
77.35540009,9.498270035,0,0.00539158,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,5,2,2,4,5,2,3,8,6,5,2,1,2,9,5,1,1,Very deep,Clay,63
77.35220337,9.498299599,0,0.003797,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,3,4,2,2,4,3,3,1,9,7,7,2,1,1,9,3,1,1,Very deep,Clay,63
77.34600067,9.498339653,0,0.003748758,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,9,2,2,3,4,4,1,9,8,6,2,1,1,8,5,1,1,Very deep,Clay,63
77.32710266,9.498459816,0,0.003616508,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,2,6,3,1,5,3,2,3,7,7,8,2,1,2,8,5,1,1,Very deep,Clay,63
77.3239975,9.498479843,0,0.005356181,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,6,8,3,2,3,5,2,5,7,8,4,2,1,2,8,4,1,1,Very deep,Clay,63
77.32089996,9.498510361,0,0.004215258,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,8,4,2,3,5,4,2,8,6,5,2,1,2,8,3,1,1,Very deep,Clay,63
77.31770325,9.498530388,0,0.005121022,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,5,4,3,4,5,4,3,6,8,6,2,1,2,8,5,1,1,Very deep,Clay,63
77.31459808,9.498550415,0,0.005240803,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,8,4,2,3,5,3,3,6,5,5,2,1,3,8,4,1,1,Very deep,Clay,63
77.31140137,9.498570442,0,0.004393897,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,6,4,2,5,5,4,3,6,6,6,2,1,3,8,2,1,1,Very deep,Clay,63
77.3082962,9.498590469,0,0.003901297,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,8,3,1,4,4,4,4,6,4,6,2,1,2,8,4,1,1,Very deep,Clay,63
77.30519867,9.498609543,0,0.004835021,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,5,3,3,1,5,4,2,3,6,4,5,2,1,2,8,3,1,1,Very deep,Clay,63
77.30200195,9.49862957,0,0.003805935,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,6,4,3,1,4,4,4,3,6,4,6,2,1,3,8,3,1,1,Very deep,Clay,63
77.29889679,9.498649597,0,0.003945632,very low,Hornblende Gneiss,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,3,4,3,2,5,4,2,3,6,5,6,2,1,4,8,3,1,1,Very deep,Clay,63
77.29579926,9.498669624,0,0.001125434,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,6,3,3,1,5,3,4,1,6,4,5,2,1,4,8,4,1,1,Very deep,Clay,63
77.29260254,9.498689651,0,0.00118465,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,6,10,3,2,4,5,4,2,7,5,5,2,1,4,7,4,1,1,Very deep,Clay,63
77.28949738,9.498709679,0,0.000902535,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,1,4,9,3,2,5,4,2,3,7,6,6,2,1,4,7,4,1,1,Very deep,Clay,63
77.28639984,9.498729706,0,0.000772525,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,3,7,5,4,1,5,2,5,1,8,7,6,2,1,4,7,1,1,1,Very deep,Clay,63
77.28320313,9.498749733,0,0.001225301,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,2,5,4,4,1,5,5,3,3,7,6,5,2,1,4,6,5,1,1,Very deep,Clay,63
77.28009796,9.49876976,0,0.001165471,very low,Charnakite,Evergreen / Semi Evergreen Forest - Closed,Evergreen / Semi Evergreen Forest - Closed,47,Kumily,4,8,4,4,2,5,4,4,1,8,5,2,2,1,5,6,4,1,1,Very deep,Clay,63
